timestamp,equity,pnl,position
1700000121,1000004.140000,4.140000,-10
1700000122,1000004.340000,4.340000,-10
1700000123,1000004.340000,4.340000,-10
1700000124,1000004.340000,4.340000,-10
1700000125,1000004.340000,4.340000,-10
1700000126,1000004.240000,4.240000,-10
1700000126,1000002.530000,2.530000,-9
1700000126,1000002.530000,2.530000,-8
1700000127,1000002.530000,2.530000,-8
1700000127,1000003.890000,3.890000,-6
1700000128,1000003.890000,3.890000,-6
1700000128,1000002.270000,2.270000,-4
1700000129,1000002.270000,2.270000,-4
1700000129,1000003.350000,3.350000,-6
1700000130,1000003.350000,3.350000,-6
1700000131,1000003.230000,3.230000,-6
1700000131,1000001.980000,1.980000,-5
1700000131,1000001.980000,1.980000,-4
1700000132,1000001.980000,1.980000,-4
1700000132,1000003.210000,3.210000,-5
1700000132,1000003.210000,3.210000,-6
1700000133,1000002.790000,2.790000,-6
1700000133,1000001.410000,1.410000,-4
1700000134,1000001.410000,1.410000,-4
1700000134,1000002.680000,2.680000,-5
1700000134,1000002.680000,2.680000,-6
1700000135,1000002.680000,2.680000,-6
1700000136,1000002.140000,2.140000,-6
1700000136,1000000.990000,0.990000,-5
1700000136,1000000.990000,0.990000,-4
1700000137,1000000.990000,0.990000,-4
1700000137,1000002.270000,2.270000,-6
1700000138,1000001.610000,1.610000,-6
1700000138,1000000.350000,0.350000,-4
1700000139,1000000.350000,0.350000,-4
1700000139,1000001.740000,1.740000,-5
1700000139,1000001.740000,1.740000,-6
1700000140,1000001.740000,1.740000,-6
1700000141,1000000.960000,0.960000,-6
1700000141,999999.910000,-0.090000,-5
1700000141,999999.910000,-0.090000,-4
1700000142,999999.910000,-0.090000,-4
1700000142,1000001.310000,1.310000,-6
1700000143,1000000.350000,0.350000,-6
1700000143,999999.210000,-0.790000,-4
1700000144,999999.210000,-0.790000,-4
1700000144,1000000.770000,0.770000,-5
1700000144,1000000.770000,0.770000,-6
1700000145,1000000.770000,0.770000,-6
1700000146,999999.690000,-0.310000,-6
1700000146,999998.840000,-1.160000,-5
1700000146,999998.840000,-1.160000,-4
1700000147,999998.840000,-1.160000,-4
1700000147,1000000.240000,0.240000,-6
1700000148,999999.040000,-0.960000,-6
1700000148,999998.040000,-1.960000,-5
1700000148,999998.040000,-1.960000,-4
1700000149,999998.040000,-1.960000,-4
1700000149,999999.720000,-0.280000,-5
1700000149,999999.720000,-0.280000,-6
1700000150,999999.720000,-0.280000,-6
1700000151,999998.400000,-1.600000,-6
1700000151,999997.650000,-2.350000,-5
1700000151,999997.650000,-2.350000,-4
1700000152,999997.650000,-2.350000,-4
1700000152,999999.170000,-0.830000,-6
1700000153,999997.670000,-2.330000,-6
1700000153,999996.790000,-3.210000,-5
1700000153,999996.790000,-3.210000,-4
1700000154,999996.790000,-3.210000,-4
1700000154,999998.640000,-1.360000,-5
1700000154,999998.640000,-1.360000,-6
1700000155,999998.640000,-1.360000,-6
1700000156,999997.020000,-2.980000,-6
1700000157,999997.020000,-2.980000,-6
1700000157,999998.640000,-1.360000,-8
1700000158,999996.320000,-3.680000,-8
1700000159,999996.320000,-3.680000,-8
1700000159,999996.160000,-3.840000,-6
1700000160,999996.160000,-3.840000,-6
1700000161,999996.160000,-3.840000,-6
1700000161,999996.160000,-3.840000,-4
